ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-02-10,5.380772718470974,3.5393479547464226,7.172125960527173,5.31044199045091,5.452252132982472,-0.004183907274017663,-0.004183907274017663,-0.004183907274017663,-0.004183907274017663,-0.004183907274017663,-0.004183907274017663,0.0,0.0,0.0,5.358260064354328
2021-02-11,5.3807339662823095,3.534085395679164,7.157246140488929,5.310283177055952,5.452437441198344,-0.015807238200524515,-0.015807238200524515,-0.015807238200524515,-0.015807238200524515,-0.015807238200524515,-0.015807238200524515,0.0,0.0,0.0,5.295679422783632
2021-02-12,5.380695214093645,4.013618362734419,7.618151040848154,5.3099839570523155,5.452622749414217,0.07983793177815075,0.07983793177815075,0.07983793177815075,0.07983793177815075,0.07983793177815075,0.07983793177815075,0.0,0.0,0.0,5.8102787915154765
2021-02-13,5.38065646190498,3.855331247387064,7.574206208352884,5.309684737048679,5.452808057630089,0.04234051277458009,0.04234051277458009,0.04234051277458009,0.04234051277458009,0.04234051277458009,0.04234051277458009,0.0,0.0,0.0,5.608476215565895
2021-02-14,5.380617709716315,3.2827869956951528,6.839522993830002,5.309385517045043,5.452993365845963,-0.03991283020248306,-0.03991283020248306,-0.03991283020248306,-0.03991283020248306,-0.03991283020248306,-0.03991283020248306,0.0,0.0,0.0,5.165862028683935
2021-02-15,5.380578957527651,3.842739595926907,7.327381309690816,5.309086653890959,5.453178674061836,0.042242973458946655,0.042242973458946655,0.042242973458946655,0.042242973458946655,0.042242973458946655,0.042242973458946655,0.0,0.0,0.0,5.607870611624258
2021-02-16,5.380540205338987,2.9871677962125682,6.61631502082858,5.308790597516453,5.453315251979576,-0.10451744233460109,-0.10451744233460109,-0.10451744233460109,-0.10451744233460109,-0.10451744233460109,-0.10451744233460109,0.0,0.0,0.0,4.818179904698466
2021-02-17,5.3805014531503215,3.433946813293812,7.181584130044654,5.308494541141947,5.453413284046032,-0.004183907273845343,-0.004183907273845343,-0.004183907273845343,-0.004183907273845343,-0.004183907273845343,-0.004183907273845343,0.0,0.0,0.0,5.357989933983551
2021-02-18,5.380462700961656,3.414722148623892,7.153939019225058,5.30819848476744,5.453511316112489,-0.015807238201066543,-0.015807238201066543,-0.015807238201066543,-0.015807238201066543,-0.015807238201066543,-0.015807238201066543,0.0,0.0,0.0,5.295412445415602
2021-02-19,5.380423948772992,3.922512593975787,7.554932237578211,5.307902428392933,5.453613852667084,0.07983793177805584,0.07983793177805584,0.07983793177805584,0.07983793177805584,0.07983793177805584,0.07983793177805584,0.0,0.0,0.0,5.809985868932148
2021-02-20,5.380385196584328,3.794687203812242,7.357001591520102,5.307606372018427,5.453717342486846,0.042340512774633285,0.042340512774633285,0.042340512774633285,0.042340512774633285,0.042340512774633285,0.042340512774633285,0.0,0.0,0.0,5.6081934647327545
2021-02-21,5.380346444395663,3.3700199396037775,6.75941015449822,5.307390269524007,5.45381221812334,-0.03991283020223976,-0.03991283020223976,-0.03991283020223976,-0.03991283020223976,-0.03991283020223976,-0.03991283020223976,0.0,0.0,0.0,5.165601590331274
2021-02-22,5.380307692206998,3.91478073347183,7.318052410830693,5.307243059413032,5.453905500797238,0.04224297345914947,0.04224297345914947,0.04224297345914947,0.04224297345914947,0.04224297345914947,0.04224297345914947,0.0,0.0,0.0,5.607587887250955
2021-02-23,5.3802689400183334,3.1212649659553042,6.555959851328528,5.307101049050026,5.453998740872667,-0.10451744233446324,-0.10451744233446324,-0.10451744233446324,-0.10451744233446324,-0.10451744233446324,-0.10451744233446324,0.0,0.0,0.0,4.8179369913360635
2021-02-24,5.380230187829669,3.6349095614302884,7.134603377306369,5.306964602749731,5.454129703138244,-0.004183907274044253,-0.004183907274044253,-0.004183907274044253,-0.004183907274044253,-0.004183907274044253,-0.004183907274044253,0.0,0.0,0.0,5.3577198036107765
2021-02-25,5.380191435641004,3.511939800379953,7.135022339940903,5.306833679708037,5.45421405564222,-0.015807238200927748,-0.015807238200927748,-0.015807238200927748,-0.015807238200927748,-0.015807238200927748,-0.015807238200927748,0.0,0.0,0.0,5.295145468051235
2021-02-26,5.380152683452339,4.120590498502533,7.708506686323595,5.306688783333647,5.454326782630802,0.07983793177796093,0.07983793177796093,0.07983793177796093,0.07983793177796093,0.07983793177796093,0.07983793177796093,0.0,0.0,0.0,5.809692946348821
2021-02-27,5.380113931263675,3.747038872330031,7.409545722286784,5.30654676693005,5.454439509619384,0.042340512774686465,0.042340512774686465,0.042340512774686465,0.042340512774686465,0.042340512774686465,0.042340512774686465,0.0,0.0,0.0,5.607910713899614
