ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-08-14,4.917190718230518,2.900181694287039,9.023386382900508,4.917190718230518,4.917190718230518,0.1969143405118217,0.1969143405118217,0.1969143405118217,0.23578218823805255,0.23578218823805255,0.23578218823805255,-0.03886784772623088,-0.03886784772623088,-0.03886784772623088,0.0,0.0,0.0,5.8854560856817315
2020-08-16,4.9115668703153235,1.4151625011668099,7.599006782236094,4.9115668703153235,4.9115668703153235,-0.09428579635049207,-0.09428579635049207,-0.09428579635049207,-0.053943982226031875,-0.053943982226031875,-0.053943982226031875,-0.0403418141244602,-0.0403418141244602,-0.0403418141244602,0.0,0.0,0.0,4.448475876618949
2020-08-20,4.900319174484933,1.0554839939677405,7.366163471274643,4.900319174484933,4.900319174484933,-0.1420110152262768,-0.1420110152262768,-0.1420110152262768,-0.10569023558464435,-0.10569023558464435,-0.10569023558464435,-0.03632077964163245,-0.03632077964163245,-0.03632077964163245,0.0,0.0,0.0,4.204419873583537
2020-08-21,4.897507250527336,2.763952718448896,9.135968828973919,4.897507250527336,4.897507250527336,0.20223992957205708,0.20223992957205708,0.20223992957205708,0.23578218823829575,0.23578218823829575,0.23578218823829575,-0.03354225866623865,-0.03354225866623865,-0.03354225866623865,0.0,0.0,0.0,5.887978771952624
2020-08-22,4.894695326569739,3.094432442274348,9.277607027948758,4.894695326569739,4.894695326569739,0.25288349823512873,0.25288349823512873,0.25288349823512873,0.2828879018057853,0.2828879018057853,0.2828879018057853,-0.030004403570656573,-0.030004403570656573,-0.030004403570656573,0.0,0.0,0.0,6.13248300354783
2020-08-23,4.891883402612141,1.3878154837632748,7.677380516968773,4.891883402612141,4.891883402612141,-0.07966023668411223,-0.07966023668411223,-0.07966023668411223,-0.05394398222628649,-0.05394398222628649,-0.05394398222628649,-0.025716254457825743,-0.025716254457825743,-0.025716254457825743,0.0,0.0,0.0,4.502194812928978
2020-08-28,4.877823782824153,3.096489657020115,9.411305970383987,4.877823782824153,4.877823782824153,0.24088077545398465,0.24088077545398465,0.24088077545398465,0.2357821882384935,0.2357821882384935,0.2357821882384935,0.005098587215491147,0.005098587215491147,0.005098587215491147,0.0,0.0,0.0,6.052797758158723
2020-08-29,4.875011858866555,3.273711581840114,9.431697280124908,4.875011858866555,4.875011858866555,0.2953422003332021,0.2953422003332021,0.2953422003332021,0.28288790180652235,0.28288790180652235,0.28288790180652235,0.012454298526679742,0.012454298526679742,0.012454298526679742,0.0,0.0,0.0,6.314808587914658
2020-08-30,4.8721999349089575,1.6031858368685856,7.772485116401141,4.8721999349089575,4.8721999349089575,-0.03405325604985766,-0.03405325604985766,-0.03405325604985766,-0.05394398222654112,-0.05394398222654112,-0.05394398222654112,0.019890726176683467,0.019890726176683467,0.019890726176683467,0.0,0.0,0.0,4.706285662999403
2020-09-03,4.860952239078568,1.5536085947888267,7.670819488086281,4.860952239078568,4.860952239078568,-0.058625497249128876,-0.058625497249128876,-0.058625497249128876,-0.10569023558432294,-0.10569023558432294,-0.10569023558432294,0.04706473833519407,0.04706473833519407,0.04706473833519407,0.0,0.0,0.0,4.5759764969583205
2020-09-04,4.85814031512097,3.241251150558253,9.268507388393653,4.85814031512097,4.85814031512097,0.2881348314167231,0.2881348314167231,0.2881348314167231,0.23578218823873665,0.23578218823873665,0.23578218823873665,0.05235264317798646,0.05235264317798646,0.05235264317798646,0.0,0.0,0.0,6.257939755817136
2020-09-05,4.855328391163373,3.6139868534022996,9.576252775352055,4.855328391163373,4.855328391163373,0.33960149706467263,0.33960149706467263,0.33960149706467263,0.2828879018063708,0.2828879018063708,0.2828879018063708,0.05671359525830181,0.05671359525830181,0.05671359525830181,0.0,0.0,0.0,6.504205181543062
2020-09-06,4.852516467205775,1.8547664773481323,8.158707128114452,4.852516467205775,4.852516467205775,0.006065554498641615,0.006065554498641615,0.006065554498641615,-0.05394398222679572,-0.05394398222679572,-0.05394398222679572,0.06000953672543734,0.06000953672543734,0.06000953672543734,0.0,0.0,0.0,4.881949670293167
2020-09-11,4.838456847417787,3.0293901953943916,9.381605437875548,4.838456847417787,4.838456847417787,0.2932057022273735,0.2932057022273735,0.2932057022273735,0.23578218823895714,0.23578218823895714,0.23578218823895714,0.0574235139884164,0.0574235139884164,0.0574235139884164,0.0,0.0,0.0,6.257119985061763
2020-09-12,4.83564492346019,3.2627849916468854,9.544179471313548,4.83564492346019,4.83564492346019,0.33579923652787697,0.33579923652787697,0.33579923652787697,0.2828879018062193,0.2828879018062193,0.2828879018062193,0.05291133472165766,0.05291133472165766,0.05291133472165766,0.0,0.0,0.0,6.459450796878027
2020-09-17,4.821585303672203,1.4262640436139271,7.3847508947098905,4.821585303672203,4.821585303672203,-0.09090556978417569,-0.09090556978417569,-0.09090556978417569,-0.10569023558488719,-0.10569023558488719,-0.10569023558488719,0.014784665800711501,0.014784665800711501,0.014784665800711501,0.0,0.0,0.0,4.383276344378873
